time,low,high,open,close,volume
2021-01-31,100.231,106.463,105.367,102.473,25834.83603303
2021-02-01,100.236,105.704,102.459,103.637,33145.14005392
2021-02-02,103.197,111.46,103.638,110.065,49953.0244361
2021-02-03,110.086,118.76,110.226,116.981,79253.18099301
2021-02-04,110.282,118.717,117.007,111.207,62422.55939595
2021-02-05,110.527,122.674,111.1,120.351,93587.78018865
2021-02-06,115.198,123.351,120.494,119.13,59313.75049571
2021-02-07,112.5,122.27,119.254,118.637,39647.95626845
2021-02-08,115.0,126.746,118.637,126.392,51621.24588122
2021-02-09,124.195,138.25,126.6,137.572,76636.42976873
2021-02-10,128.851,149.0,137.596,139.695,99816.59302752
2021-02-11,138.122,168.27,139.931,165.179,129894.52275661
2021-02-12,155.955,173.814,164.751,170.193,107686.1125352
2021-02-13,170.103,319.399,170.327,267.753,569776.8102251
2021-02-14,222.372,279.999,267.761,230.864,216578.67575371
2021-02-15,194.001,292.57,230.729,260.654,307088.97409988
2021-02-16,243.0,272.765,260.251,249.412,112447.31595804
2021-02-17,235.0,271.177,249.71,265.919,82269.49113829
2021-02-18,258.34,304.048,266.34,281.173,139890.2375733
2021-02-19,267.836,336.76,281.515,324.347,216559.55291033
2021-02-20,269.0,332.54,324.177,298.125,119477.99010671
2021-02-21,290.2,317.24,298.283,301.912,59898.60939369
2021-02-22,219.276,303.308,302.0,271.834,119490.65612372
2021-02-23,202.0,272.718,271.866,231.406,135731.00472889
2021-02-24,218.048,263.9,231.346,237.452,76693.82691296
2021-02-25,216.738,248.89,237.353,217.847,47125.08528402
2021-02-26,202.0,224.0,217.88,206.931,43916.88847596
2021-02-27,205.459,224.0,207.144,210.998,29268.27094101
2021-02-28,181.408,212.549,210.9,197.079,49641.97312743
2021-03-01,196.315,225.0,197.201,225.0,41936.39671181
2021-03-02,209.378,230.547,224.764,216.088,35587.70405094
2021-03-03,214.201,235.817,216.116,222.448,33538.49878932
2021-03-04,206.132,230.0,222.572,211.283,27950.77461458
2021-03-05,196.216,211.569,211.129,205.524,26556.28641297
